"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"105B6FD207D6FB96F8FB27D82093ED520C2CCF4841B5DCD6754E034AD04047F4","2","127745","127745","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/07_InterlockedGate/Original/left.png"
"105B6FD207D6FB96F8FB27D82093ED520C2CCF4841B5DCD6754E034AD04047F4","2","127745","127745","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/07_InterlockedGate/left.png"
"133D16039E55F5A50225740D1C46B2E9400EA1D6DB22DBC9E9682F67CB54553A","2","2418","2418","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v005/LB_MR01_Phase2_Dimensions_v005.json"
"133D16039E55F5A50225740D1C46B2E9400EA1D6DB22DBC9E9682F67CB54553A","2","2418","2418","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v006/LB_MR01_Phase2_Dimensions_v006.json"
"145883A623918DB207FDF7F69E3F817F3DFBDBDB9EE1300DD27F07EA008474E6","2","128042","128042","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/08_ElectricalCabinet/Original/right.png"
"145883A623918DB207FDF7F69E3F817F3DFBDBDB9EE1300DD27F07EA008474E6","2","128042","128042","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/08_ElectricalCabinet/right.png"
"16A578833F847F5730AF46E0B6F137707701D854F1602302978FE50AD5047C5F","2","96044","96044","Candidate/PressTrains/TrainA/Audio_v001/PTA_ControlledStop_v001.wav"
"16A578833F847F5730AF46E0B6F137707701D854F1602302978FE50AD5047C5F","2","96044","96044","Candidate/PressTrains/TrainA/Audio_v002/PTA_ControlledStop_v002.wav"
"16AA512ED13590E81C48BBA24C915AF064FFFEF078A656AF4A5879331D06936B","2","1138839","1138839","Candidate/UI/ProductionFlowThumbnails_v001/Authority/05_BodyWeld_authority.png"
"16AA512ED13590E81C48BBA24C915AF064FFFEF078A656AF4A5879331D06936B","2","1138839","1138839","Candidate/WeldShop/WeldRobotRuntime_v001/Renders/WeldRobot_SPOT_LOD0_inspected.png"
"17A630560088DCC239F2C4626B68C7010E5946466C21D52895540D3C217AB674","2","272995","272995","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/05_FlatPanelStillage/Original/left.png"
"17A630560088DCC239F2C4626B68C7010E5946466C21D52895540D3C217AB674","2","272995","272995","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset09C_FlatStillage/left.png"
